TABLE_NAME|ORDINAL_POSITION|COLUMN_NAME|DATA_TYPE|LEN|IS_NULLABLE|DEF|PK
----------|----------------|-----------|---------|---|-----------|---|--
auto_sc_work|1|wh_typ|varchar|4|YES||
auto_sc_work|2|sc_no|varchar|10|YES||
auto_sc_work|3|lugg_no|varchar|8|YES||
auto_sc_work|4|job_typ|varchar|30|YES||
auto_sc_work|5|wrk_typ|varchar|30|YES||
auto_sc_work|6|ins_dt|date||YES||
auto_sc_work|7|job_seq|varchar|2|YES||
auto_sc_work|8|log_seq|int||NO||
auto_sc_work|9|bcr_bottom|varchar|10|YES||
auto_sc_work|10|bcr_top|varchar|10|YES||
auto_sc_work|11|pgr_nm|varchar|20|YES||
auto_sc_work|12|log_kor|varchar|100|YES||
auto_sc_work|13|track_from|varchar|10|YES||
auto_sc_work|14|track_to|varchar|10|YES||
auto_sc_work|15|job_sta|varchar|10|YES||
auto_sc_work|16|rq_ins_id|varchar|20|YES||
auto_sc_work|17|rq_ins_dt|date||YES||
auto_sc_work|18|eqp_typ|varchar|10|YES||
auto_sc_work|19|spare1|varchar|50|YES||
auto_sc_work|20|spare2|varchar|50|YES||
bcr_mst|1|wh_typ|varchar|2|YES||
bcr_mst|2|bcr_no|varchar|2|YES||
bcr_mst|3|bcr_mc_no|varchar|3|YES||
bcr_mst|4|upd_dt|datetime||YES|(getdate())|
bcr_mst|5|upd_user_id|varchar|20|YES||
bcr_mst|6|use_yn|varchar|1|YES|('Y')|
bcr_mst|7|plc_ip|varchar|15|YES||
bcr_mst|8|plc_port|varchar|5|YES||
bcr_mst|9|sock_timeout|varchar|4|YES||
bcr_mst|10|retry_yn|varchar|1|YES||
bcr_mst|11|connected_yn|varchar|1|YES|('N')|
bcr_mst|12|bcr_sta|varchar|2|YES|('0')|
bcr_mst|13|bcr_lev|varchar|2|YES||
bcr_mst|14|noread_cnt|varchar|4|YES|('0')|
bcr_mst|15|cmd_rq_id|varchar|10|YES||
bcr_mst|16|cmd_rq_yn|varchar|1|YES|('N')|
bcr_mst|17|suspend|varchar|1|YES|('0')|
cell_dtl|1|wh_typ|varchar|2|YES||
cell_dtl|2|cell_no|varchar|8|YES||
cell_dtl|3|cell_sc_no|varchar|3|YES||
cell_dtl|4|bank|varchar|2|YES||
cell_dtl|5|bay|varchar|2|YES||
cell_dtl|6|lev|varchar|2|YES||
cell_dtl|7|aging_start_dt|varchar|14|YES||
cell_dtl|8|aging_end_dt|varchar|14|YES||
cell_dtl|9|ins_dt|datetime||YES|(getdate())|
cell_dtl|10|ins_user_id|varchar|20|YES||
cell_dtl|11|upd_dt|datetime||YES||
cell_dtl|12|upd_user_id|varchar|20|YES||
cell_dtl|13|bottom_tray|varchar|10|YES||
cell_dtl|14|top_tray|varchar|10|YES||
cell_dtl|15|user_remarks|varchar|100|YES||
cell_dtl|16|remarks|varchar|100|YES||
cell_mst|1|wh_typ|varchar|2|YES||
cell_mst|2|cell_sc_no|varchar|3|YES||
cell_mst|3|cell_no|varchar|8|YES||
cell_mst|4|bank|varchar|2|YES||
cell_mst|5|bay|varchar|2|YES||
cell_mst|6|lev|varchar|2|YES||
cell_mst|7|gdbox_no|varchar|10|YES|('')|
cell_mst|8|gdbox_racd|varchar|10|YES|('')|
cell_mst|9|fire_detector_no|varchar|10|YES|('')|
cell_mst|10|cell_fire_yn|varchar|1|YES|('N')|
cell_mst|11|cell_sta|varchar|2|YES|('0')|
cell_mst|12|cell_use_def|varchar|2|YES|('1')|
cell_mst|13|cell_use_yn|varchar|1|YES|('Y')|
cell_mst|14|aging_typ|varchar|2|YES|('0')|
cell_mst|15|cell_typ|varchar|2|YES|('0')|
cell_mst|16|bottom_tray|varchar|10|YES|('')|
cell_mst|17|top_tray|varchar|10|YES|('')|
cell_mst|18|upd_dt|datetime||YES|(getdate())|
cell_mst|19|user_remarks|varchar|100|YES|('')|
cell_mst|20|remarks|varchar|100|YES|('')|
cell_mst|21|cell_status|varchar|2|YES|('0')|
cell_mst|22|fire_od_rq_yn|varchar|1|YES|('N')|
cell_mst|23|SC_PLT_JOB_TYP|varchar|10|YES||
chg_lang|1|from_lang|varchar|500|YES||
chg_lang|2|to_lang_e|varchar|500|YES||
chg_lang|3|to_lang_h|varchar|500|YES||
chg_lang|4|to_lang_c|varchar|500|YES||
chg_lang|5|ctl_type|varchar|100|YES||
chg_lang|6|lang_type|varchar|10|YES||
chg_lang|7|use_yn|varchar|1|YES||
chg_lang|8|ins_dt|date||YES||
chg_lang|9|ins_user|varchar|20|YES||
chg_lang|10|upd_dt|date||YES||
chg_lang|11|upd_user|varchar|20|YES||
client_pgr_nm|1|wh_typ|varchar|5|YES||
client_pgr_nm|2|pgr_nm|varchar|100|YES||
client_pgr_nm|3|pgr_nm_kor|varchar|100|YES||
client_pgr_nm|4|upd_dt|datetime2||YES||
client_pgr_nm|5|upd_id|varchar|50|YES||
client_pgr_nm|6|priority|varchar|3|YES||
common_code|1|cdx_cd|varchar|20|YES||
common_code|2|ccd_cd|varchar|20|YES||
common_code|3|ccd_cd_yn|varchar|1|YES||
common_code|4|ccd_epr_ord|int||YES||
common_code|5|ccd_nm_kor|varchar|200|YES||
common_code|6|ccd_nm_eng|varchar|200|YES||
common_code|7|ccd_nm_hun|varchar|200|YES||
common_code|8|ccd_nm_chin|varchar|200|YES||
common_code|9|wh_typ|varchar|11|YES||
cv_data|1|wh_typ|varchar|4|YES||
cv_data|2|plc_no|varchar|5|YES||
cv_data|3|track_no|varchar|5|YES||
cv_data|4|mc_no|varchar|5|YES||
cv_data|5|mc_no_nm|varchar|100|YES||
cv_data|6|lugg_no_rd|varchar|5|YES||
cv_data|7|lugg_no_od|varchar|5|YES||
cv_data|8|dest_pos_rd|varchar|5|YES||
cv_data|9|dest_pos_od|varchar|5|YES||
cv_data|10|job_typ_rd|varchar|5|YES||
cv_data|11|job_typ_od|varchar|5|YES||
cv_data|12|tr_pause_rd|varchar|5|YES||
cv_data|13|tr_pause_od|varchar|5|YES||
cv_data|14|comming_rd|varchar|5|YES||
cv_data|15|comming_od|varchar|5|YES||
cv_data|16|error_code|varchar|5|YES||
cv_data|17|auto_mode_rd|varchar|5|YES||
cv_data|18|sto_ready_rd|varchar|5|YES||
cv_data|19|ret_ready_rd|varchar|5|YES||
cv_data|20|stohs_ready_rd|varchar|5|YES||
cv_data|21|reths_ready_rd|varchar|5|YES||
cv_data|22|rtv_deparths_ready_rd|varchar|5|YES||
cv_data|23|rtv_arrivehs_ready_rd|varchar|5|YES||
cv_data|24|sensor0_data_rd|varchar|5|YES||
cv_data|25|sensor1_data_rd|varchar|5|YES||
cv_data|26|sensor2_data_rd|varchar|5|YES||
cv_data|27|delete_track_rd|varchar|5|YES||
cv_data|28|rtv_lock_sensor|varchar|5|YES||
cv_data|29|barcode|varchar|30|YES||
cv_data|30|err_rq_rd|varchar|5|YES||
cv_data|31|err_rq_od|varchar|5|YES||
cv_data|32|od_rq_yn|varchar|5|YES||
cv_data|33|od_rq_flag|varchar|1|YES||
cv_data|34|cmd_rq_id|varchar|20|YES||
cv_data|35|cmd_rq_yn|varchar|1|YES||
cv_data|36|host_send_yn|varchar|1|YES||
cv_data|37|host_err_send_yn|varchar|1|YES||
cv_data|38|use_yn|varchar|1|YES||
cv_data|39|read_upd_dt|datetime2||YES||
cv_data|40|write_upd_dt|datetime2||YES||
cv_data|41|stn_kind|varchar|10|YES||
cv_data|42|od_user_id|varchar|20|YES||
cv_data|43|od_upd_dt|datetime2||YES||
cv_data|44|comming_dest_tr|varchar|-1|YES||
cv_data|45|comming_check_tr1|varchar|-1|YES||
cv_data|46|comming_check_tr2|varchar|-1|YES||
cv_data|47|comming_check_tr3|varchar|-1|YES||
cv_data|48|comming_check_tr4|varchar|-1|YES||
cv_data|49|door_status_rd|varchar|-1|YES||
cv_data|50|d5n_4_rd|varchar|255|YES||
cv_data|51|pulp_sensor_rd|varchar|255|YES||
cv_data|52|cv_check_pos_rd|varchar|255|YES||
cv_data|53|d5n_1_rd|varchar|255|YES||
cv_data|54|emergency_rd|varchar|255|YES||
cv_data|55|remote_control|varchar|255|YES||
cv_data|56|roll_mode|varchar|255|YES||
cv_data|57|stock_mode|varchar|255|YES||
cv_data|58|a_turn_yn|varchar|255|YES||
cv_data|59|b_turn_yn|varchar|255|YES||
